year,state_code,state,percent_hisp,percent_hisp100,percent_black,percent_black100,crime_rate, violent_crrate , prop_crrate , unemploy_rate ,state_gdp,log_gdp,repub_both,law_restrict,form_preclear,vep_highest,vep_highest100,median_age,percent_white,percent_white100,white_min50,abs_whitemin50, tot_pop , num_whites , num_blacks , num_minority 
2016,1,Alabama,0.042,4.2,0.2680,26.8,427.4,427,"3,177.60",6,"209,382",5,1,1,1,0.59,59,37.9,0.69,68.53,18.53,18.53,"4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2016,2,Alaska,0.07,7,0.0380,3.8,730.2,635.8,"2,760.00",6.6,"54,256",5,0,0,1,0.61,61,33.8,0.67,66.69,16.69,16.69,"710,123.00","473,576.00","23,263.00","236,547.00"
2016,3,Arizona,0.309,30.9,0.0490,4.9,410.2,399.9,"3,197.50",5.3,"298,204",5,1,1,1,0.55,55,35.9,0.73,73.01,23.01,23.01,"6,392,017.00","4,667,121.00","259,008.00","1,724,896.00"
2016,4,Arkansas,0.073,7.3,0.1570,15.7,521.3,480.1,"3,338.00",4,"123,424",5,1,0,0,0.53,53,37.4,0.77,77,27,27,"2,915,918.00","2,245,229.00","449,895.00","670,689.00"
2016,5,California,0.389,38.9,0.0650,6.5,426.3,396.1,"2,441.10",5.4,"2,448,467",6,0,0,1,0.57,57,35.2,0.58,57.59,7.59,7.59,"37,253,956.00","21,453,934.00","299,072.00","15,800,022.00"
2016,6,Colorado,0.213,21.3,0.0450,4.5,321,309.1,"2,530.10",3.3,"318,600",6,0,0,0,0.7,70,36.1,0.81,81.31,31.31,31.31,"5,029,196.00","4,089,202.00","201,737.00","939,994.00"
2016,7,Connecticut,0.157,15.7,0.1180,11.8,218.5,236.9,"1,920.40",5.1,"262,212",5,0,0,0,0.64,64,40,0.78,77.57,27.57,27.57,"3,574,097.00","2,772,410.00","396,296.00","801,687.00"
2016,8,Delaware,0.092,9.2,0.2260,22.6,499,489.1,"2,982.00",4.4,"66,150",5,0,0,0,0.64,64,38.8,0.69,68.89,18.89,18.89,"897,934.00","618,617.00","191,814.00","279,317.00"
2016,9,District of Columbia,0.109,10.9,0.4770,47.7,1269.1,"1,244.40","5,182.50",6,"122,936",5,0,0,0,0.61,61,33.8,0.38,38.47,-11.53,11.53,"601,723.00","231,471.00","305,125.00","370,252.00"
2016,10,Florida,0.249,24.9,0.1680,16.8,461.9,540.5,"3,415.50",4.9,"893,189",6,1,0,1,0.65,65,40.7,0.75,75.04,25.04,25.04,"18,801,310.00","14,109,162.00","2,999,862.00","4,692,148.00"
2016,11,Georgia,0.094,9.4,0.3200,32,378.3,377.3,"3,281.20",5.4,"501,241",6,1,0,1,0.59,59,35.3,0.6,59.74,9.74,9.74,"9,687,653.00","5,787,440.00","2,950,435.00","3,900,213.00"
2016,12,Hawaii,0.104,10.4,0.0220,2.2,293.4,259.2,"3,050.00",3,"79,595",5,0,0,0,0.42,42,38.6,0.25,24.74,-25.26,25.26,"1,360,301.00","336,599.00","21,424.00","1,023,702.00"
2016,13,Idaho,0.123,12.3,0.0080,0.8,215.6,212.2,"1,854.80",3.8,"65,202",5,1,0,0,0.59,59,34.6,0.89,89.09,39.09,39.09,"1,567,582.00","1,396,487.00","9,810.00","171,095.00"
2016,14,Illinois,0.17,17,0.1470,14.7,383.8,370,"2,075.90",5.9,"771,896",6,0,0,0,0.62,62,36.6,0.72,71.53,21.53,21.53,"12,830,632.00","9,177,877.00","1,866,414.00","3,652,755.00"
2016,15,Indiana,0.068,6.8,0.0970,9.7,387.5,365.3,"2,649.40",4.4,"331,126",6,1,1,0,0.56,56,37,0.84,84.33,34.33,34.33,"6,483,802.00","5,467,906.00","591,397.00","1,015,896.00"
2016,16,Iowa,0.058,5.8,0.0370,3.7,286.1,273.5,"2,093.80",3.7,"171,532",5,1,0,0,0.68,68,38.1,0.91,91.31,41.31,41.31,"3,046,355.00","2,781,561.00","89,148.00","264,794.00"
2016,17,Kansas,0.116,11.6,0.0620,6.2,389.9,348.6,"2,735.20",4.2,"149,090",5,1,1,0,0.58,58,36,0.84,83.8,33.8,33.8,"2,853,118.00","2,391,044.00","167,864.00","462,074.00"
2016,18,Kentucky,0.035,3.5,0.0830,8.3,218.7,211.6,"2,246.90",5,"194,578",5,1,0,0,0.59,59,38.1,0.88,87.79,37.79,37.79,"4,339,367.00","3,809,537.00","337,520.00","529,830.00"
2016,19,Louisiana,0.05,5,0.3260,32.6,539.7,514.7,"3,458.80",6.1,"253,517",5,0,0,1,0.6,60,35.8,0.63,62.56,12.56,12.56,"4,533,372.00","2,836,192.00","1,452,396.00","1,697,180.00"
2016,20,Maine,0.016,1.6,0.0150,1.5,130.1,127.8,"1,986.40",3.9,"55,137",5,0,0,0,0.71,71,42.7,0.95,95.23,45.23,45.23,"1,328,361.00","1,264,971.00","15,707.00","63,390.00"
2016,21,Maryland,0.098,9.8,0.3070,30.7,457.2,446.1,"2,507.50",4.3,"365,209",6,0,0,0,0.67,67,38,0.58,58.18,8.18,8.18,"5,773,552.00","3,359,284.00","1,700,298.00","2,414,268.00"
2016,22,Massachusetts,0.115,11.5,0.0860,8.6,390.9,391.4,"1,857.10",3.7,"478,941",6,0,0,0,0.67,67,39.1,0.8,80.41,30.41,30.41,"6,547,629.00","5,265,236.00","434,398.00","1,282,393.00"
2016,23,Michigan,0.05,5,0.1420,14.2,415.5,427.3,"2,043.90",4.9,"468,029",6,1,0,1,0.65,65,38.9,0.79,78.95,28.95,28.95,"9,883,640.00","7,803,120.00","1,400,362.00","2,080,520.00"
2016,24,Minnesota,0.052,5.2,0.0620,6.2,242.6,229.1,"2,297.50",3.9,"334,780",6,0,0,0,0.74,74,37.4,0.85,85.3,35.3,35.3,"5,303,925.00","4,524,062.00","274,412.00","779,863.00"
2016,25,Mississippi,0.031,3.1,0.3770,37.7,275.8,278.5,"2,921.20",5.8,"106,880",5,1,1,1,0.56,56,36,0.59,59.13,9.13,9.13,"2,967,297.00","1,754,684.00","1,098,385.00","1,212,613.00"
2016,26,Missouri,0.041,4.1,0.1180,11.8,497.4,442.9,"2,906.50",4.5,"290,713",5,1,0,0,0.62,62,37.9,0.83,82.8,32.8,32.8,"5,988,927.00","4,958,770.00","693,391.00","1,030,157.00"
2016,27,Montana,0.036,3.6,0.0060,0.6,349.6,323.7,"2,472.90",4.1,"45,799",5,0,0,0,0.62,62,39.8,0.89,89.44,39.44,39.44,"989,415.00","884,961.00","4,027.00","104,454.00"
