year,state_code,state,law_change,midterm,vep_total,vep_highest,vep_highest100,vap_highest,median_age,race_percent_minority,race_percent_minority100,gender_percent_females ,gender_percent_females100, num_females , tot_pop , num_whites , num_blacks , num_minority 
2016,1,Alabama,,,0.59,0.59,59,0.56,37.9,0.314733282,31.4733282,0.514578211,51.4578211,"2,459,548.00","4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2014,1,Alabama,,,0.33,0.33,33,0.32,37.9,0.314733282,31.4733282,0.514578211,51.4578211,"2,459,548.00","4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2012,1,Alabama,,,,0.59,59,0.56,37.9,0.314733282,31.4733282,0.514578211,51.4578211,"2,459,548.00","4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2010,1,Alabama,,,0.43,0.43,43,0.41,37.9,0.314733282,31.4733282,0.514578211,51.4578211,"2,459,548.00","4,779,736.00","3,275,394.00","1,251,311.00","1,504,342.00"
2008,1,Alabama,,,0.61,0.61,61,0.58,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
2006,1,Alabama,,,,0.38,38,0.36,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
2004,1,Alabama,,,0.57,0.57,57,0.55,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
2002,1,Alabama,,,,0.42,42,0.4,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
2000,1,Alabama,,,,0.52,52,0.5,35.8,0.288793146,28.8793146,0.517324998,51.7324998,"2,300,596.00","4,447,100.00","3,162,808.00","1,155,930.00","1,284,292.00"
1998,1,Alabama,,,,0.41,41,0.4,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1996,1,Alabama,,,,0.49,49,0.48,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1994,1,Alabama,,,,0.39,39,0.38,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1992,1,Alabama,,,,0.56,56,0.55,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1990,1,Alabama,,,,0.41,41,0.4,33,0.263523592,26.3523592,0.520821603,52.0821603,"2,104,425.00","4,040,587.00","2,975,797.00","1,020,705.00","1,064,790.00"
1988,1,Alabama,,,,0.48,48,0.47,29.2,0.262274364,26.2274364,0.519366248,51.9366248,"2,022,354.00","3,893,888.00","2,872,621.00","996,335.00","1,021,267.00"
1986,1,Alabama,,,,0.43,43,0.43,29.2,0.262274364,26.2274364,0.519366248,51.9366248,"2,022,354.00","3,893,888.00","2,872,621.00","996,335.00","1,021,267.00"
